id,pt_PT,pt_BR,pt_PT_words,pt_BR_words
172,"O Tomás decidiu fazer uma caminhada pela floresta. Levou uma mochila com água e um lanche para o caminho. Durante o passeio, encontrou um pequeno riacho e parou para descansar. O som da água a correr deixou-o relaxado e em paz.","O Tomás decidiu fazer uma trilha pela floresta. Ele levou uma mochila com água e um lanche para o caminho. Durante o passeio, encontrou um pequeno riacho e parou para descansar. O som da água correndo o deixou relaxado e em paz.",41,42
173,"A Beatriz passou a tarde a fazer um puzzle de mil peças. No início, parecia impossível, mas aos poucos foi ganhando forma. Quando finalmente terminou, ficou muito orgulhosa do resultado. Decidiu emoldurar o puzzle e pendurá-lo na parede do quarto.","A Beatriz passou a tarde montando um quebra-cabeça de mil peças. No começo, parecia impossível, mas aos poucos ele foi tomando forma. Quando finalmente terminou, ficou muito orgulhosa do resultado. Decidiu emoldurar o quebra-cabeça e pendurá-lo na parede do quarto.",40,40
174,"O Ricardo e a família foram passar o dia no campo. Levaram uma cesta cheia de comida para fazer um piquenique. As crianças brincaram à apanhada enquanto os adultos conversavam. Antes de irem embora, tiraram uma fotografia de grupo junto ao lago.","O Ricardo e a família foram passar o dia no campo. Eles levaram uma cesta cheia de comida para fazer um piquenique. As crianças brincaram de pega-pega enquanto os adultos conversavam. Antes de irem embora, tiraram uma foto em grupo perto do lago.",42,43
175,"O António passou horas a tentar montar um móvel novo. Seguiu as instruções, mas algumas peças não encaixavam bem. Depois de muito esforço, conseguiu terminar e ficou satisfeito. Agora, o móvel está na sala e é o seu orgulho.","O António passou horas tentando montar um móvel novo. Ele seguiu as instruções, mas algumas peças não encaixavam direito. Depois de muito esforço, conseguiu terminar e ficou satisfeito. Agora, o móvel está na sala e é o seu orgulho.",39,39
176,"A Marta decidiu fazer uma limpeza geral no seu quarto. Começou por arrumar as roupas e depois limpou o pó dos móveis. Encontrou uma caixa com fotografias antigas e passou horas a revê-las. No final, o quarto estava impecável e ela sentia-se realizada.","A Marta decidiu fazer uma faxina geral no quarto. Começou organizando as roupas e depois limpou o pó dos móveis. Encontrou uma caixa com fotos antigas e passou horas olhando para elas. No final, o quarto estava impecável e ela se sentiu realizada.",43,43
177,"O Tiago e o seu pai decidiram construir uma casota para o cão. Foram à loja comprar madeira e ferramentas. Passaram o dia a serrar, pregar e pintar. Quando terminaram, o cão entrou na casota e parecia muito feliz.","O Tiago e o pai dele decidiram construir uma casinha para o cachorro. Eles foram à loja comprar madeira e ferramentas. Passaram o dia cortando, pregando e pintando. Quando terminaram, o cachorro entrou na casinha e parecia muito feliz.",39,39
178,"A Ana e o João foram ao mercado de rua no sábado de manhã. Compraram frutas frescas, legumes e até flores para a sala. Depois, pararam numa banca para comer pastéis de nata. Foi um passeio agradável e voltaram para casa com sacos cheios.","A Ana e o João foram à feira no sábado de manhã. Eles compraram frutas frescas, legumes e até flores para a sala. Depois, pararam em uma barraca para comer pastel. Foi um passeio agradável e voltaram para casa com as sacolas cheias.",44,43
179,"A Sofia e os amigos organizaram uma noite de jogos em casa. Jogaram cartas, tabuleiro e até fizeram um quiz divertido. Entre risos e brincadeiras, a noite passou num instante. No final, combinaram repetir a noite na semana seguinte.","A Sofia e os amigos organizaram uma noite de jogos em casa. Eles jogaram cartas, tabuleiro e até fizeram um quiz divertido. Entre risadas e brincadeiras, a noite passou voando. No final, combinaram repetir a noite na semana seguinte.",39,39
180,"O Manuel decidiu fazer pão caseiro pela primeira vez. Misturou os ingredientes, amassou a massa e deixou-a a levedar. Depois de algumas horas, colocou o pão no forno e esperou ansiosamente. O cheiro espalhou-se pela casa e o resultado foi delicioso.","O Manuel decidiu fazer pão caseiro pela primeira vez. Ele misturou os ingredientes, amassou a massa e deixou-a crescer. Depois de algumas horas, colocou o pão no forno e esperou ansiosamente. O cheiro tomou conta da casa e o resultado ficou delicioso.",41,42
181,"A Clara e o Miguel foram ao parque para andar de bicicleta. O dia estava ensolarado e o vento era agradável. Depois de algumas voltas, pararam para descansar e comer um gelado. Foi uma tarde divertida e cheia de risos.","A Clara e o Miguel foram ao parque para andar de bicicleta. O dia estava ensolarado e o vento era refrescante. Depois de algumas voltas, eles pararam para descansar e tomar um sorvete. Foi uma tarde divertida e cheia de risadas.",40,41
182,"O Ricardo e os amigos decidiram fazer um churrasco no quintal. Compraram carne, pão e bebidas no supermercado. Enquanto o Ricardo preparava a grelha, os outros montavam a mesa. A comida ficou deliciosa e a noite foi cheia de conversas e música.","O Ricardo e os amigos decidiram fazer um churrasco no quintal. Eles compraram carne, pão e bebidas no mercado. Enquanto o Ricardo preparava a churrasqueira, os outros arrumavam a mesa. A comida ficou deliciosa e a noite foi cheia de conversas e música.",42,43
183,"O Luís passou a manhã a pescar no rio perto de casa. Levou a sua cana de pesca e um balde para guardar os peixes. Depois de algumas horas, conseguiu apanhar dois peixes grandes. Voltou para casa satisfeito e preparou um almoço delicioso.","O Luís passou a manhã pescando no rio perto de casa. Ele levou sua vara de pesca e um balde para guardar os peixes. Depois de algumas horas, conseguiu pegar dois peixes grandes. Voltou para casa satisfeito e preparou um almoço delicioso.",43,42
184,"A Rita decidiu fazer uma caminhada pela montanha com o irmão. O caminho era íngreme, mas a vista no topo era incrível. Tiraram várias fotografias e descansaram à sombra de uma árvore. Foi um dia inesquecível para os dois.","A Rita decidiu fazer uma trilha na montanha com o irmão. O caminho era íngreme, mas a vista do topo era incrível. Eles tiraram várias fotos e descansaram à sombra de uma árvore. Foi um dia inesquecível para os dois.",39,40
185,"A Mariana passou a manhã a organizar uma festa surpresa para o irmão. Decorou a sala com balões e preparou um bolo de chocolate. Quando ele chegou, todos gritaram 'surpresa' e começaram a cantar os parabéns. Foi um dia cheio de alegria e risos.","A Mariana passou a manhã organizando uma festa surpresa para o irmão. Ela decorou a sala com balões e preparou um bolo de chocolate. Quando ele chegou, todos gritaram 'surpresa' e começaram a cantar parabéns. Foi um dia cheio de alegria e risadas.",44,43
186,"O Francisco decidiu passar a tarde a aprender a cozinhar. Escolheu uma receita de lasanha e começou a preparar os ingredientes. Apesar de alguns erros, o prato ficou delicioso. A família adorou e pediu para ele cozinhar mais vezes.","O Francisco decidiu passar a tarde aprendendo a cozinhar. Ele escolheu uma receita de lasanha e começou a preparar os ingredientes. Apesar de alguns erros, o prato ficou delicioso. A família adorou e pediu para ele cozinhar mais vezes.",39,39
187,"A Matilde foi ao parque com o seu cão, o Max. Enquanto ele corria atrás de uma bola, ela lia um livro. De repente, Max começou a ladrar para um esquilo numa árvore. Matilde riu-se e chamou-o de volta para continuar a brincadeira.","A Matilde foi ao parque com seu cachorro, o Max. Enquanto ele corria atrás de uma bola, ela lia um livro. De repente, Max começou a latir para um esquilo em uma árvore. Matilde riu e o chamou de volta para continuar a brincadeira.",43,44
188,"A Clara decidiu plantar um pequeno jardim na varanda. Comprou vasos, terra e sementes de flores coloridas. Passou a tarde a plantar e a regar as sementes com cuidado. Agora, todos os dias, ela verifica o crescimento das plantas com entusiasmo.","A Clara decidiu montar um pequeno jardim na varanda. Ela comprou vasos, terra e sementes de flores coloridas. Passou a tarde plantando e regando as sementes com cuidado. Agora, todos os dias, ela observa o crescimento das plantas com entusiasmo.",41,40
189,"O Rui e os amigos foram jogar ténis no clube desportivo. Dividiram-se em duplas e jogaram durante duas horas. Depois, sentaram-se na esplanada para beber limonada e conversar. Foi uma tarde divertida e cheia de competição saudável.","O Rui e os amigos foram jogar tênis no clube esportivo. Eles se dividiram em duplas e jogaram por duas horas. Depois, sentaram-se na área externa para tomar limonada e conversar. Foi uma tarde divertida e cheia de competição saudável.",37,40
190,"A Leonor foi à biblioteca procurar um livro para o trabalho da escola. Depois de procurar durante algum tempo, encontrou exatamente o que precisava. Passou o resto do dia a ler e a tirar apontamentos.","A Leonor foi à biblioteca procurar um livro para o trabalho da escola. Depois de procurar por um tempo, encontrou exatamente o que precisava. Passou o resto do dia lendo e fazendo anotações.",35,33
191,"O André passou o dia a pintar o quarto de azul. No início, teve dificuldade em escolher a cor certa, mas acabou por ficar satisfeito com o resultado. Agora, o quarto parece mais espaçoso e acolhedor.","O André passou o dia pintando o quarto de azul. No começo, teve dificuldade para escolher a cor certa, mas acabou ficando satisfeito com o resultado. Agora, o quarto parece mais espaçoso e aconchegante.",36,34
192,"Durante o almoço de domingo, o Tiago contou uma história engraçada sobre o seu cão. Toda a família riu-se e a avó até deixou cair o guardanapo de tanto rir. Foi um momento muito divertido.","Durante o almoço de domingo, o Tiago contou uma história engraçada sobre o cachorro dele. Toda a família riu, e a avó até deixou o guardanapo cair de tanto rir. Foi um momento muito divertido.",35,35
193,"A Beatriz inscreveu-se numa aula de cerâmica para aprender algo novo. No primeiro dia, moldou um pequeno vaso e pintou-o de azul. Ficou tão contente com o resultado que decidiu oferecer o vaso à avó.","A Beatriz se inscreveu em uma aula de cerâmica para aprender algo novo. No primeiro dia, modelou um pequeno vaso e o pintou de azul. Ficou tão feliz com o resultado que decidiu dar o vaso de presente para a avó.",35,41
194,"O Diogo e a Inês foram ao mercado de Natal no centro da cidade. Compraram castanhas assadas e um chocolate quente para se aquecerem. Depois, passearam pelas bancas e compraram decorações para a árvore de Natal.","O Diogo e a Inês foram à feira de Natal no centro da cidade. Compraram castanhas assadas e um chocolate quente para se aquecerem. Depois, passearam pelas barracas e compraram enfeites para a árvore de Natal.",36,36
195,"A Carolina foi passear com o cão ao parque. Enquanto ele corria atrás de uma bola, ela aproveitou para ler um livro. O dia estava tão agradável que acabaram por ficar lá até ao pôr do sol.","A Carolina foi passear com o cachorro no parque. Enquanto ele corria atrás de uma bola, ela aproveitou para ler um livro. O dia estava tão agradável que acabaram ficando lá até o pôr do sol.",37,36
196,"A Sara foi à biblioteca procurar um livro sobre astronomia. Depois de algum tempo a explorar as prateleiras, encontrou exatamente o que queria. Passou o resto do dia a ler e a aprender sobre as estrelas.","A Sara foi à biblioteca procurar um livro sobre astronomia. Depois de um tempo explorando as prateleiras, encontrou exatamente o que queria. Passou o resto do dia lendo e aprendendo sobre as estrelas.",36,33
197,"A Marta decidiu fazer um bolo de chocolate para o aniversário da irmã. Passou a tarde na cozinha a misturar os ingredientes e a decorar o bolo. Quando o apresentou, todos ficaram impressionados com o resultado.","A Marta decidiu fazer um bolo de chocolate para o aniversário da irmã. Passou a tarde na cozinha misturando os ingredientes e decorando o bolo. Quando o serviu, todos ficaram impressionados com o resultado.",36,34
198,"Durante a viagem de carro, a Inês e o Tiago cantaram as suas músicas favoritas. O tempo passou a voar e, antes que dessem conta, já tinham chegado ao destino. Foi uma viagem cheia de risos e boa disposição.","Durante a viagem de carro, a Inês e o Tiago cantaram suas músicas favoritas. O tempo passou voando e, antes que percebessem, já tinham chegado ao destino. Foi uma viagem cheia de risadas e alegria.",39,35
199,"A Carolina e a amiga foram a uma feira de artesanato no centro da cidade. Compraram pulseiras feitas à mão e provaram doces típicos. No final, tiraram uma fotografia junto a um artista de rua.","A Carolina e a amiga foram a uma feira de artesanato no centro da cidade. Compraram pulseiras feitas à mão e provaram doces típicos. No final, tiraram uma foto com um artista de rua.",35,34
200,"A Matilde inscreveu-se numa aula de cerâmica para aprender algo novo. No início, teve dificuldade em moldar o barro, mas com paciência conseguiu fazer um pequeno vaso. Saiu da aula muito orgulhosa do seu trabalho.","A Matilde se inscreveu em uma aula de cerâmica para aprender algo novo. No começo, teve dificuldade em moldar o barro, mas com paciência conseguiu fazer um pequeno vaso. Saiu da aula muito orgulhosa do seu trabalho.",35,37
201,Decidi começar a ler um novo livro que comprei na livraria no fim de semana passado.,Decidi começar a ler um novo livro que comprei na livraria no fim de semana passado.,16,16
202,Hoje à tarde vou ao supermercado comprar ingredientes para preparar um jantar especial para a família.,Hoje à tarde vou ao supermercado comprar ingredientes para preparar um jantar especial para a família.,16,16
203,Decidi organizar o meu quarto hoje e encontrei várias coisas que já nem me lembrava que tinha.,Decidi organizar o meu quarto hoje e encontrei várias coisas que já nem me lembrava que tinha.,17,17
204,Hoje à tarde vou ao centro da cidade para comprar um presente de aniversário para o meu amigo.,Hoje à tarde vou ao centro da cidade para comprar um presente de aniversário para o meu amigo.,18,18
205,Decidi experimentar uma nova receita de massa com molho de tomate e manjericão para o jantar.,Decidi experimentar uma nova receita de massa com molho de tomate e manjericão para o jantar.,16,16
206,Decidi comprar um presente especial para o aniversário da minha mãe que é já na próxima semana.,Decidi comprar um presente especial para o aniversário da minha mãe que é já na próxima semana.,17,17
207,Hoje de manhã fui à feira comprar frutas frescas e legumes para preparar um almoço saudável em casa.,Hoje de manhã fui à feira comprar frutas frescas e legumes para preparar um almoço saudável em casa.,18,18
208,Decidi começar a fazer aulas de culinária para aprender a preparar pratos diferentes e mais saudáveis.,Decidi começar a fazer aulas de culinária para aprender a preparar pratos diferentes e mais saudáveis.,16,16
209,Hoje de manhã fui à padaria comprar pão fresco e aproveitei para tomar um café com leite quente.,Hoje de manhã fui à padaria comprar pão fresco e aproveitei para tomar um café com leite quente.,18,18
210,"Decidimos fazer uma caminhada pela serra no próximo fim de semana, se o tempo estiver bom.","Decidimos fazer uma caminhada pela serra no próximo fim de semana, se o tempo estiver bom.",16,16
211,Decidimos pintar as paredes da sala de estar para dar um novo visual à casa toda.,Decidimos pintar as paredes da sala de estar para dar um novo visual à casa toda.,16,16
212,Decidimos ir ao mercado local para comprar frutas frescas e legumes para o almoço de domingo.,Decidimos ir ao mercado local para comprar frutas frescas e legumes para o almoço de domingo.,16,16
213,Decidimos ir ao cinema no sábado à noite para ver o novo filme de ação que estreou.,Decidimos ir ao cinema no sábado à noite para ver o novo filme de ação que estreou.,17,17
214,Decidimos visitar um castelo antigo no fim de semana para aprender mais sobre a história local.,Decidimos visitar um castelo antigo no fim de semana para aprender mais sobre a história local.,16,16
215,Decidimos fazer uma surpresa para o nosso amigo e levá-lo a um restaurante que ele adora.,Decidimos fazer uma surpresa para o nosso amigo e levá-lo a um restaurante que ele adora.,16,16
216,Decidimos visitar um museu de arte moderna no centro da cidade no próximo sábado à tarde.,Decidimos visitar um museu de arte moderna no centro da cidade no próximo sábado à tarde.,16,16
217,Decidimos passar o fim de semana no campo para relaxar e aproveitar a tranquilidade da natureza.,Decidimos passar o fim de semana no campo para relaxar e aproveitar a tranquilidade da natureza.,16,16
218,Decidimos passar o fim de semana na praia para aproveitar o sol e relaxar com a família.,Decidimos passar o fim de semana na praia para aproveitar o sol e relaxar com a família.,17,17
219,Decidimos pintar as paredes da sala de estar de azul claro para dar um ar mais fresco.,Decidimos pintar as paredes da sala de estar de azul claro para dar um ar mais fresco.,17,17
220,Vou precisar de comprar um novo casaco de inverno porque o meu já está muito velho.,Vou precisar de comprar um novo casaco de inverno porque o meu já está muito velho.,16,16
221,Os alunos estavam muito entusiasmados com a visita de estudo ao museu de história natural da cidade.,Os alunos estavam muito entusiasmados com a visita de estudo ao museu de história natural da cidade.,17,17
222,Os trabalhadores estão a terminar a construção da nova ponte que liga as duas cidades vizinhas.,Os trabalhadores estão a terminar a construção da nova ponte que liga as duas cidades vizinhas.,16,16
223,Os meus amigos e eu estamos a planear uma viagem de carro para explorar o interior do país.,Os meus amigos e eu estamos a planear uma viagem de carro para explorar o interior do país.,18,18
224,Os meus pais decidiram fazer uma pequena reforma na cozinha para torná-la mais moderna e funcional.,Os meus pais decidiram fazer uma pequena reforma na cozinha para torná-la mais moderna e funcional.,16,16
225,Os alunos da escola primária participaram numa campanha de limpeza da praia para proteger o ambiente.,Os alunos da escola primária participaram numa campanha de limpeza da praia para proteger o ambiente.,16,16
226,Os trabalhadores estão a construir um novo parque infantil no bairro para as crianças brincarem em segurança.,Os trabalhadores estão a construir um novo parque infantil no bairro para as crianças brincarem em segurança.,17,17
227,"No verão, gosto de ir à praia e aproveitar o sol enquanto leio um bom livro.","No verão, gosto de ir à praia e aproveitar o sol enquanto leio um bom livro.",16,16
228,A biblioteca da cidade tem um acervo incrível de livros antigos e raros para consulta gratuita.,A biblioteca da cidade tem um acervo incrível de livros antigos e raros para consulta gratuita.,16,16
229,Decidimos jantar sushi hoje à noite para celebrar o aniversário.,Decidimos jantar sushi hoje à noite para celebrar o aniversário.,10,10
230,Vou arrumar o quarto antes de sair.,Vou arrumar o quarto antes de sair.,7,7
231,Vamos sair para jantar fora esta noite.,Vamos sair para jantar fora esta noite.,7,7
232,Vamos fazer um piquenique no parque amanhã.,Vamos fazer um piquenique no parque amanhã.,7,7
233,Vamos visitar os avós no próximo fim de semana.,Vamos visitar os avós no próximo fim de semana.,9,9
234,Vamos sair cedo para evitar o trânsito na estrada.,Vamos sair cedo para evitar o trânsito na estrada.,9,9
235,Vou tomar um café antes de começar a trabalhar.,Vou tomar um café antes de começar a trabalhar.,9,9
236,Ela pediu um café e um bolo de chocolate.,Ela pediu um café e um bolo de chocolate.,9,9
237,O vento está muito forte hoje à tarde.,O vento está muito forte hoje à tarde.,8,8
238,Eles decidiram passar o fim de semana na praia.,Eles decidiram passar o fim de semana na praia.,9,9
239,Ele gosta de ler livros antes de dormir.,Ele gosta de ler livros antes de dormir.,8,8
240,A praia estava cheia de turistas no fim de semana.,A praia estava cheia de turistas no fim de semana.,10,10
241,Eles foram ao mercado comprar legumes frescos.,Eles foram ao mercado comprar legumes frescos.,7,7
242,Eles foram ao mercado comprar pão e leite.,Eles foram ao mercado comprar pão e leite.,8,8
243,Eles decidiram pintar a sala de uma cor diferente.,Eles decidiram pintar a sala de uma cor diferente.,9,9
244,Ele gosta de correr no parque todas as manhãs.,Ele gosta de correr no parque todas as manhãs.,9,9
245,O jogo de futebol foi adiado por causa da chuva.,O jogo de futebol foi adiado por causa da chuva.,10,10
246,"Amanhã à tarde, vou levar o carro à oficina para fazer a revisão e verificar os travões.","Amanhã à tarde, vou levar o carro na oficina para fazer a revisão e verificar os freios.",17,17
247,"Enquanto passeava pelo jardim, reparei que algumas flores começaram a desabrochar com a chegada da primavera.","Enquanto caminhava pelo jardim, percebi que algumas flores começaram a desabrochar com a chegada da primavera.",16,16
248,"Enquanto caminhava pela floresta, ouvi o som de pássaros a cantar e o vento a soprar nas árvores.","Enquanto caminhava pela floresta, ouvi o som dos pássaros cantando e o vento soprando nas árvores.",18,16
249,"Enquanto caminhava pelo parque, vi um grupo de crianças a brincar e a correr atrás de um cãozinho.","Enquanto caminhava pelo parque, vi um grupo de crianças brincando e correndo atrás de um cachorrinho.",18,16
250,"Enquanto passeava pelo parque, vi um grupo de jovens a jogar futebol e a rir-se muito.","Enquanto caminhava pelo parque, vi um grupo de jovens jogando futebol e rindo bastante.",16,14
251,"Enquanto esperávamos pelo autocarro, começou a chover e tivemos de nos abrigar debaixo de uma árvore.","Enquanto esperávamos pelo ônibus, começou a chover e tivemos que nos abrigar debaixo de uma árvore.",16,16
252,"Amanhã, antes de sairmos para o aeroporto, temos de confirmar se os bilhetes estão todos impressos e prontos.","Amanhã, antes de sairmos para o aeroporto, precisamos confirmar se as passagens estão todas impressas e prontas.",18,17
253,"A apresentação foi adiada para a próxima semana, porque o projetor da sala de reuniões está avariado.","A apresentação foi adiada para a semana que vem, porque o projetor da sala de reuniões está quebrado.",17,18
254,"Enquanto esperávamos pelo táxi, começou a chover tanto que tivemos de nos abrigar numa loja próxima.","Enquanto esperávamos pelo táxi, começou a chover tanto que tivemos que nos abrigar em uma loja próxima.",16,17
255,"Se precisares de ajuda com o trabalho de casa, posso explicar-te como resolver os exercícios mais difíceis.","Se você precisar de ajuda com a lição de casa, posso te explicar como resolver os exercícios mais difíceis.",17,19
256,"Se precisares de ajuda para organizar a festa de aniversário, posso ajudar-te a preparar a comida e a decoração.","Se você precisar de ajuda para organizar a festa de aniversário, posso te ajudar a preparar a comida e a decoração.",19,21
257,"A apresentação foi adiada para a próxima semana, porque o auditório principal está em obras de renovação.","A apresentação foi adiada para a semana que vem, porque o auditório principal está em reforma.",17,16
258,"Enquanto caminhávamos pela praia ao final da tarde, vimos um grupo de golfinhos a nadar perto da costa.","Enquanto caminhávamos pela praia no fim da tarde, vimos um grupo de golfinhos nadando perto da costa.",18,17
259,"Quando saímos do cinema, já era tão tarde que tivemos de apanhar um táxi para voltar para casa.","Quando saímos do cinema, já era tão tarde que tivemos que pegar um táxi para voltar para casa.",18,18
260,"Quando finalmente chegámos ao topo da montanha, a vista era tão bonita que ficámos sem palavras.","Quando finalmente chegamos ao topo da montanha, a vista era tão bonita que ficamos sem palavras.",16,16
261,"Quando finalmente encontrámos o restaurante, percebemos que estava fechado e tivemos de procurar outro lugar para comer.","Quando finalmente encontramos o restaurante, percebemos que estava fechado e tivemos que procurar outro lugar para comer.",17,17
262,"Enquanto caminhávamos pela floresta, ouvimos o som de pássaros e o barulho de um riacho ao longe.","Enquanto caminhávamos pela floresta, ouvimos o som dos pássaros e o barulho de um riacho ao longe.",17,17
263,"Quando saíres do trabalho, não te esqueças de passar pela farmácia para comprar os medicamentos que te pedi.","Quando sair do trabalho, não se esqueça de passar na farmácia para comprar os remédios que te pedi.",18,18
264,"Se tiveres tempo no final do dia, podemos combinar de ir ao café para conversar e pôr a conversa em dia.","Se você tiver tempo no final do dia, podemos combinar de ir à cafeteria para conversar e colocar o papo em dia.",21,22
265,"Durante a viagem de comboio, aproveitei para ler um livro que tinha comprado há meses e ainda não tinha começado.","Durante a viagem de trem, aproveitei para ler um livro que tinha comprado há meses e ainda não tinha começado.",20,20
266,"Se tiveres tempo no fim de semana, podemos ir àquela exposição de arte que tanto querias visitar.","Se você tiver tempo no fim de semana, podemos ir àquela exposição de arte que você tanto queria visitar.",17,19
267,"Enquanto passeávamos pelo mercado ao ar livre, encontramos um vendedor que tinha frutas frescas e muito saborosas.","Enquanto passeávamos pela feira ao ar livre, encontramos um vendedor que tinha frutas frescas e muito saborosas.",17,17
268,"Enquanto passeávamos pelo parque, vimos um grupo de crianças a jogar à bola e a correr pela relva.","Enquanto passeávamos pelo parque, vimos um grupo de crianças jogando bola e correndo pela grama.",18,15
269,A fila para o bilhete é muito longa.,A fila para o ingresso está muito grande.,8,8
270,Esqueci-me das chaves em casa e voltei para as buscar.,Esqueci as chaves em casa e voltei para pegá-las.,10,9
271,Esqueci-me de levar o guarda-chuva e fiquei todo molhado.,Esqueci de levar o guarda-chuva e me molhei todo.,9,9
272,Vou arrumar a casa antes de jantar.,Vou arrumar a casa antes do jantar.,7,7
273,Ela esqueceu-se do guarda-chuva no autocarro.,Ela esqueceu o guarda-chuva no ônibus.,6,6
274,Queres ir ao cinema este fim de semana?,Você quer ir ao cinema neste fim de semana?,8,9
275,A ementa do restaurante tem muitas opções vegetarianas.,O cardápio do restaurante tem muitas opções vegetarianas.,8,8
276,Ela deixou o guarda-chuva no banco do jardim.,Ela deixou o guarda-chuva no banco da praça.,8,8
277,Ela esqueceu-se do casaco no restaurante.,Ela esqueceu o casaco no restaurante.,6,6
278,Espera por mim junto à paragem de autocarro.,Me espera perto do ponto de ônibus.,8,7
279,A praia estava deserta por causa do mau tempo.,A praia estava vazia por causa do mau tempo.,9,9
280,O avião aterrou com atraso devido ao mau tempo.,O avião pousou com atraso por causa do mau tempo.,9,10
281,A comida no restaurante estava deliciosa ontem.,A comida no restaurante estava uma delícia ontem.,7,8
282,O concerto foi cancelado devido ao mau tempo.,O show foi cancelado por causa do mau tempo.,8,9
283,A escola vai organizar uma visita de estudo ao museu.,A escola vai organizar uma excursão ao museu.,10,8
284,A fila para comprar bilhetes era muito longa.,A fila para comprar ingressos estava muito grande.,8,8
285,"O Tomé decidiu fazer uma surpresa para a namorada. Comprou bilhetes para um concerto da banda favorita dela e não contou nada. No dia do evento, levou-a ao local sem dizer para onde iam. Quando chegaram, ela ficou tão feliz que o abraçou e agradeceu com um grande sorriso.","Tomé decidiu fazer uma surpresa para a namorada. Comprou ingressos para o show da banda favorita dela e não contou nada. No dia do evento, levou-a ao local sem dizer para onde estavam indo. Quando chegaram, ela ficou tão feliz que o abraçou e agradeceu com um grande sorriso.",49,49
286,"O Manuel encontrou uma receita antiga da avó e decidiu experimentá-la. Passou a tarde na cozinha a preparar um bolo de laranja. O cheiro espalhou-se pela casa e todos ficaram curiosos. Quando o bolo ficou pronto, sentaram-se à mesa e comeram juntos, recordando histórias de família.","Manuel encontrou uma receita antiga da avó e decidiu testá-la. Passou a tarde na cozinha preparando um bolo de laranja. O cheiro se espalhou pela casa e todos ficaram curiosos. Quando o bolo ficou pronto, sentaram-se à mesa e comeram juntos, relembrando histórias da família.",46,45
287,"O António decidiu aprender a tocar piano. Comprou um teclado e começou a praticar todos os dias. No início, era difícil, mas com o tempo começou a tocar as suas músicas favoritas. Agora, ele até dá pequenos concertos para os amigos em casa.","Antônio decidiu aprender a tocar piano. Comprou um teclado e começou a praticar todos os dias. No começo, era difícil, mas com o tempo começou a tocar suas músicas favoritas. Agora, ele até faz pequenos shows para os amigos em casa.",43,41
288,"A Leonor foi ao mercado de rua pela primeira vez. Ficou encantada com as bancas cheias de frutas e flores coloridas. Comprou um ramo de girassóis e um saco de laranjas frescas. Quando chegou a casa, colocou as flores num jarro e fez um sumo delicioso.","Leonor foi à feira de rua pela primeira vez. Ficou encantada com as barracas cheias de frutas e flores coloridas. Comprou um buquê de girassóis e um saco de laranjas frescas. Quando chegou em casa, colocou as flores em um vaso e fez um suco delicioso.",46,46
289,"O Henrique e os amigos decidiram organizar um torneio de futebol. Passaram a manhã a montar as balizas e a marcar o campo. Quando o jogo começou, todos se divertiram muito, mesmo com algumas quedas. No final, celebraram com um lanche e combinaram repetir a brincadeira no próximo mês.","Henrique e os amigos decidiram organizar um torneio de futebol. Passaram a manhã montando as traves e marcando o campo. Quando o jogo começou, todos se divertiram muito, mesmo com algumas quedas. No final, comemoraram com um lanche e combinaram repetir a brincadeira no mês que vem.",49,47
290,"O Jorge e a Clara foram ao cinema ver um filme de ação. Compraram pipocas e sentaram-se nas últimas filas. Durante o filme, riram-se e comentaram as cenas mais emocionantes. No final, decidiram ir jantar a um restaurante próximo.","Jorge e Clara foram ao cinema assistir a um filme de ação. Compraram pipoca e sentaram-se nas últimas fileiras. Durante o filme, riram e comentaram as cenas mais emocionantes. No final, decidiram jantar em um restaurante ali perto.",39,38
291,"O Rafael e os amigos decidiram fazer uma viagem de bicicleta. Planejaram o percurso e levaram mochilas com água e comida. Durante o caminho, pararam para descansar junto a um lago. No final do dia, chegaram ao destino e montaram as tendas para passar a noite.","Rafael e os amigos decidiram fazer uma viagem de bicicleta. Planejaram o trajeto e levaram mochilas com água e comida. Durante o caminho, pararam para descansar perto de um lago. No final do dia, chegaram ao destino e montaram as barracas para passar a noite.",46,45
292,"O Filipe decidiu passar o domingo a explorar uma nova cidade. Começou por visitar o mercado local, onde comprou algumas frutas frescas. Depois, caminhou até ao museu e passou horas a admirar as exposições. No final do dia, sentou-se numa esplanada e provou um doce típico da região.","Filipe decidiu passar o domingo explorando uma nova cidade. Começou visitando o mercado local, onde comprou algumas frutas frescas. Depois, caminhou até o museu e passou horas admirando as exposições. No fim do dia, sentou-se em uma cafeteria e experimentou um doce típico da região.",48,45
293,"O Hugo decidiu aprender a surfar durante as férias de verão. No primeiro dia, teve dificuldade em equilibrar-se na prancha e caiu várias vezes. No entanto, com a ajuda do instrutor, conseguiu apanhar a sua primeira onda. No final da semana, já se sentia confiante e adorou a experiência.","Hugo decidiu aprender a surfar durante as férias de verão. No primeiro dia, teve dificuldade em se equilibrar na prancha e caiu várias vezes. No entanto, com a ajuda do instrutor, conseguiu pegar sua primeira onda. No final da semana, já estava confiante e adorou a experiência.",49,47
